"251","Linyi Shandong","China","2030847","1984133","0.0235"
"252","Kollam","India","2025984","1940571","0.0440"
"253","Rajkot","India","1988607","1933522","0.0285"
"254","Haikou","China","1974244","1931705","0.0220"
"255","Vienna","Austria","1960023","1944910","0.0078"
"256","Valencia","Venezuela","1959318","1934891","0.0126"
"257","Almaty","Kazakhstan","1958135","1927623","0.0158"
"258","Daqing","China","1954752","1907293","0.0249"
"259","Yancheng Jiangsu","China","1951122","1907903","0.0227"
"260","Panama City","Panama","1937963","1899081","0.0205"
"261","Semarang","Indonesia","1937887","1901570","0.0191"
"262","Lianyungang","China","1933605","1877847","0.0297"
"263","Rabat","Morocco","1931930","1907071","0.0130"
"264","Baixada Santista","Brazil","1929846","1911338","0.0097"
"265","Quito","Ecuador","1928296","1900571","0.0146"
"266","Hyderabad","Pakistan","1925953","1886734","0.0208"
"267","Lome","Togo","1925517","1874394","0.0273"
"268","Ludhiana","India","1916772","1885456","0.0166"
"269","West Yorkshire","United Kingdom","1915134","1901947","0.0069"
"270","Davao City","Philippines","1907721","1866401","0.0221"
"271","La Paz","Bolivia","1907686","1881796","0.0138"
"272","Leon de los Aldamas","Mexico","1873522","1848932","0.0133"
"273","Zhuhai","China","1847411","1803711","0.0242"
"274","Benin City","Nigeria","1841084","1781999","0.0332"
"275","Datong","China","1831912","1788913","0.0240"
"276","Quanzhou","China","1814734","1755721","0.0336"
"277","Adana","Turkey","1814445","1792565","0.0122"
"278","Madurai","India","1798834","1765534","0.0189"
"279","Turin","Italy","1798471","1795235","0.0018"
"280","Matola","Mozambique","1796872","1748247","0.0278"
"281","Warsaw","Poland","1794532","1789620","0.0027"
"282","Hamburg","Germany","1788170","1788995","-0.0005"
"283","Can Tho","Vietnam","1786437","1703487","0.0487"
"284","Sharjah","United Arab Emirates","1785684","1736799","0.0281"
"285","Bucharest","Romania","1785294","1794248","-0.0050"
"286","Palembang","Indonesia","1785209","1753269","0.0182"
"287","Santa Cruz","Bolivia","1784372","1748540","0.0205"
